iter	RMSE
0	0.393731181
1	0.3836722497
2	0.3741006491
3	0.3653301759
4	0.3563145979
5	0.3476279504
6	0.3391446923
7	0.331595564
8	0.3240440564
9	0.316725603
10	0.3098349365
11	0.3031576125
12	0.2969097147
13	0.2908677583
14	0.2848133206
15	0.2793121885
16	0.2735630823
17	0.2683943653
18	0.2631727685
19	0.2584074142
20	0.253679823
21	0.249381757
22	0.2448600192
23	0.2406167591
24	0.2367456114
25	0.2327517198
26	0.2290563059
27	0.2252716829
28	0.2216960208
29	0.2182693349
30	0.2145613817
31	0.2113191412
32	0.2082174467
33	0.2052198111
34	0.2022176956
35	0.1992661478
36	0.1962199424
37	0.193964119
38	0.1914634138
39	0.1887330242
40	0.1865344057
41	0.1846368545
42	0.1824137576
43	0.1804630032
44	0.1784374629
45	0.176447679
46	0.1746793546
47	0.1726869706
48	0.1709747426
49	0.1692506535
50	0.1674684155
51	0.1657094951
52	0.1641171179
53	0.162557509
54	0.161255231
55	0.1599570546
56	0.1587318277
57	0.1576069859
58	0.1562531546
59	0.1551257077
60	0.1539802343
61	0.152810449
62	0.1517818653
63	0.1505597395
64	0.149397655
65	0.1483890555
66	0.1474742285
67	0.1463262305
68	0.1454007879
69	0.1444149013
70	0.1436789362
71	0.1429357472
72	0.1418017377
73	0.1410349409
74	0.1403236287
75	0.1393081689
76	0.1387146266
77	0.1380922586
78	0.1372917876
79	0.136593965
80	0.1358261898
81	0.1351191272
82	0.1344742396
83	0.1338982274
84	0.1332728656
85	0.1326403104
86	0.1321951522
87	0.1315935082
88	0.1310808733
89	0.1304115708
90	0.1298903838
91	0.1293245708
92	0.1287893236
93	0.1281433621
94	0.127475986
95	0.126989652
96	0.1261700315
97	0.1254997555
98	0.1248593423
99	0.1244455841
100	0.1240764936
101	0.1235694754
102	0.1231474059
103	0.1228150035
104	0.1225113486
105	0.1222070898
106	0.1218218317
107	0.1213819089
108	0.1210136585
109	0.1206259011
110	0.1202843963
111	0.1197997654
112	0.1193638965
113	0.1190265427
114	0.1184925131
115	0.1182350955
116	0.117745996
117	0.1174239956
118	0.1172084138
119	0.1168197418
120	0.1165874957
121	0.1161256976
122	0.1157961111
123	0.115434199
124	0.1151128779
125	0.114799478
126	0.114463546
127	0.114182901
128	0.1139004568
129	0.1136905207
130	0.1134100839
131	0.1131660041
132	0.1130752402
133	0.112820175
134	0.1125120209
135	0.1121919077
136	0.1120093122
137	0.1116513229
138	0.1114644499
139	0.1112220075
140	0.1109660563
141	0.1107605949
142	0.1104249014
143	0.1101118515
144	0.1100042989
145	0.1098061308
146	0.1095653473
147	0.1092507385
148	0.1090081927
149	0.1088327117
150	0.1087003052
151	0.1085135531
152	0.1082579303
153	0.1080894529
154	0.1078704281
155	0.107672399
156	0.1074207064
157	0.1071775724
158	0.1070373973
159	0.1067607603
160	0.1066305364
161	0.1063358415
162	0.1061548521
163	0.106018263
164	0.1057814359
165	0.1055632798
166	0.1052830827
167	0.1051815728
168	0.1049741732
169	0.1047880016
170	0.1045953964
171	0.1044653852
172	0.1042931615
173	0.1041398969
174	0.1039564485
175	0.1038380458
176	0.1036360846
177	0.1034351471
178	0.1031861757
179	0.1030265813
180	0.1028482108
181	0.1026167772
182	0.1024178057
183	0.1023095359
184	0.1020921999
185	0.1019507105
186	0.1018856197
187	0.1018138607
188	0.1016491813
189	0.1013948379
190	0.1012793849
191	0.101167933
192	0.1011090631
193	0.1010339944
194	0.1008662645
195	0.1007581372
196	0.1005617834
197	0.1003831614
198	0.1002630729
199	0.1001653751
200	0.1000528313
201	0.09989392847
202	0.09974478206
203	0.0995123173
204	0.09940632459
205	0.09926043645
206	0.09893582049
207	0.09877615225
208	0.09867555705
209	0.09857098625
210	0.09839456331
211	0.098240062
212	0.09811076634
213	0.09791712446
214	0.09775544733
215	0.09765959139
216	0.09738222306
217	0.09730583623
218	0.09711314733
219	0.09705176191
220	0.09684891745
221	0.09666881595
222	0.09665390798
223	0.09647119759
224	0.09632239417
225	0.09630120499
226	0.09622623888
227	0.09604903682
228	0.09590814151
229	0.09580777984
230	0.09548158201
231	0.09545893258
232	0.09536450485
233	0.09527059593
234	0.0951760281
235	0.09515315653
