iter	Passed	Remaining
0	67	67206
1	77	38850
2	87	29007
3	96	23948
4	105	21053
5	114	19045
6	124	17684
7	135	16782
8	148	16304
9	157	15575
10	165	14861
11	174	14404
12	185	14048
13	196	13811
14	206	13563
15	216	13315
16	225	13022
17	234	12776
18	243	12553
19	252	12389
20	261	12181
21	271	12053
22	279	11880
23	287	11699
24	298	11625
25	307	11524
26	317	11424
27	326	11322
28	334	11213
29	344	11125
30	353	11062
31	363	10993
32	371	10885
33	380	10820
34	389	10739
35	400	10735
36	410	10672
37	418	10604
38	427	10529
39	435	10448
40	444	10385
41	453	10339
42	461	10272
43	471	10246
44	480	10190
45	489	10149
46	498	10102
47	507	10065
48	516	10017
49	525	9981
50	534	9946
51	542	9891
52	551	9851
53	560	9813
54	568	9774
55	579	9772
56	589	9757
57	599	9738
58	610	9732
59	619	9706
60	629	9688
61	638	9655
62	648	9642
63	657	9616
64	667	9597
65	676	9574
66	686	9560
67	694	9524
68	702	9484
69	710	9442
70	721	9443
71	732	9434
72	740	9406
73	745	9329
74	756	9325
75	764	9298
76	771	9250
77	780	9228
78	789	9206
79	798	9184
80	807	9162
81	819	9174
82	831	9182
83	842	9190
84	852	9178
85	861	9151
86	871	9146
87	881	9139
88	891	9129
89	901	9116
90	911	9100
91	920	9080
92	929	9065
93	938	9043
94	948	9036
95	958	9029
96	966	9001
97	976	8990
98	986	8980
99	997	8975
100	1007	8969
101	1016	8949
102	1024	8924
103	1035	8918
104	1038	8854
105	1047	8833
106	1057	8822
107	1067	8812
108	1074	8787
109	1084	8775
110	1094	8766
111	1104	8757
112	1113	8740
113	1122	8723
114	1131	8708
115	1141	8702
116	1152	8699
117	1162	8686
118	1172	8680
119	1181	8661
120	1187	8627
121	1197	8621
122	1208	8614
123	1217	8602
124	1228	8599
125	1237	8583
126	1247	8574
127	1258	8572
128	1268	8563
129	1278	8554
130	1286	8537
131	1296	8523
132	1303	8496
133	1313	8489
134	1323	8479
135	1332	8467
136	1343	8464
137	1352	8445
138	1361	8431
139	1370	8415
140	1379	8404
141	1388	8388
142	1397	8375
143	1407	8366
144	1417	8360
145	1429	8362
146	1439	8350
147	1449	8345
148	1458	8328
149	1467	8316
150	1477	8308
151	1487	8296
152	1497	8287
153	1505	8270
154	1515	8259
155	1524	8246
156	1533	8234
157	1542	8220
158	1551	8205
159	1559	8186
160	1568	8173
161	1576	8157
162	1586	8147
163	1595	8132
164	1603	8116
165	1612	8102
166	1623	8097
167	1635	8100
168	1645	8093
169	1654	8077
170	1663	8062
171	1672	8049
172	1681	8038
173	1690	8026
174	1699	8010
175	1708	8000
176	1718	7991
177	1726	7973
178	1734	7956
179	1743	7940
180	1753	7934
181	1762	7921
182	1772	7913
183	1783	7907
184	1793	7899
185	1802	7889
186	1812	7878
187	1821	7866
188	1830	7855
189	1841	7850
190	1853	7850
191	1864	7845
192	1873	7833
193	1884	7827
194	1893	7817
195	1903	7809
196	1912	7796
197	1921	7781
198	1929	7765
199	1938	7754
200	1947	7743
201	1955	7726
202	1964	7714
203	1974	7703
204	1983	7694
205	1992	7680
206	2001	7667
207	2009	7652
208	2019	7643
209	2030	7637
210	2038	7624
211	2048	7615
212	2060	7612
213	2070	7604
214	2080	7595
215	2090	7586
216	2099	7576
217	2109	7566
218	2118	7556
219	2129	7549
220	2138	7536
221	2147	7525
222	2157	7516
223	2167	7507
224	2176	7497
225	2186	7488
226	2196	7478
227	2205	7468
228	2214	7454
229	2223	7443
230	2232	7432
231	2242	7423
232	2252	7415
233	2261	7403
234	2270	7391
235	2279	7380
236	2288	7368
237	2297	7355
238	2306	7345
239	2317	7337
240	2327	7329
241	2336	7319
242	2345	7306
243	2355	7297
244	2365	7288
245	2375	7280
246	2384	7268
247	2394	7259
248	2403	7249
249	2413	7241
250	2424	7233
251	2433	7222
252	2443	7214
253	2454	7207
254	2463	7196
255	2473	7187
256	2483	7180
257	2493	7172
258	2503	7163
259	2512	7150
260	2522	7142
261	2532	7132
262	2541	7122
263	2549	7108
264	2558	7096
265	2567	7084
266	2577	7075
267	2587	7066
268	2596	7055
269	2606	7047
270	2616	7038
271	2625	7027
272	2635	7019
273	2645	7009
274	2654	6999
275	2664	6989
276	2674	6980
277	2684	6971
278	2692	6959
279	2703	6950
280	2712	6941
281	2721	6929
282	2731	6919
283	2740	6907
284	2748	6894
285	2758	6886
286	2768	6877
287	2778	6869
288	2789	6861
289	2799	6853
290	2808	6842
291	2817	6832
292	2828	6824
293	2837	6812
294	2845	6801
295	2856	6794
296	2866	6785
297	2874	6772
298	2883	6760
299	2894	6752
300	2904	6744
301	2914	6735
302	2925	6728
303	2934	6718
304	2944	6708
305	2952	6695
306	2961	6685
307	2970	6674
308	2978	6661
309	2989	6654
310	2998	6642
311	3008	6633
312	3018	6625
313	3028	6615
314	3038	6606
315	3048	6598
316	3060	6593
317	3070	6584
318	3080	6575
319	3090	6566
320	3100	6557
321	3110	6548
322	3120	6540
323	3130	6530
324	3140	6522
325	3150	6514
326	3160	6504
327	3169	6494
328	3180	6485
329	3189	6476
330	3198	6465
331	3208	6456
332	3219	6448
333	3229	6438
334	3239	6430
335	3249	6421
336	3259	6411
337	3270	6404
338	3282	6400
339	3293	6393
340	3303	6384
341	3314	6377
342	3324	6368
343	3334	6359
344	3345	6351
345	3355	6342
346	3365	6333
347	3375	6323
348	3385	6314
349	3395	6305
350	3405	6297
351	3415	6286
352	3425	6277
353	3434	6268
354	3446	6261
355	3455	6251
356	3467	6246
357	3477	6236
358	3488	6228
359	3498	6218
360	3508	6210
361	3518	6201
362	3528	6192
363	3538	6182
364	3548	6173
365	3558	6163
366	3567	6153
367	3577	6143
368	3587	6134
369	3597	6126
370	3607	6116
371	3617	6106
372	3627	6097
373	3637	6088
374	3647	6078
375	3657	6069
376	3669	6063
377	3679	6055
378	3689	6046
379	3699	6036
380	3709	6026
381	3719	6017
382	3729	6008
383	3739	5999
384	3749	5990
385	3760	5980
386	3770	5971
387	3780	5962
388	3789	5951
389	3799	5942
390	3808	5931
391	3818	5921
392	3828	5913
393	3838	5903
394	3848	5894
395	3858	5884
396	3869	5876
397	3882	5872
398	3893	5865
399	3903	5855
400	3913	5846
401	3923	5836
402	3933	5827
403	3943	5817
404	3952	5807
405	3962	5797
406	3972	5788
407	3981	5776
408	3990	5766
409	4000	5756
410	4010	5747
411	4019	5737
412	4030	5728
413	4040	5719
414	4049	5708
415	4059	5698
416	4070	5691
417	4081	5682
418	4091	5673
419	4100	5662
420	4110	5652
421	4119	5642
422	4130	5634
423	4140	5624
424	4150	5615
425	4160	5606
426	4170	5596
427	4180	5586
428	4190	5577
429	4200	5568
430	4211	5559
431	4220	5549
432	4231	5540
433	4240	5530
434	4248	5518
435	4258	5509
436	4268	5498
437	4280	5492
438	4292	5485
439	4301	5475
440	4311	5465
441	4321	5456
442	4331	5446
443	4342	5437
444	4352	5427
445	4362	5418
446	4371	5408
447	4381	5398
448	4390	5387
449	4399	5377
450	4409	5367
451	4420	5359
452	4430	5350
453	4441	5341
454	4452	5332
455	4462	5324
456	4472	5314
457	4484	5307
458	4494	5297
459	4504	5287
460	4513	5277
461	4523	5267
462	4533	5257
463	4543	5248
464	4554	5240
465	4564	5230
466	4574	5221
467	4585	5212
468	4595	5203
469	4606	5194
